id,gender,age,education,is_capital,income,ideology,DemPolGrievence,PolicyPolGrievence,EUPolGrievence,EconGrievenceRetro,EconGrievenceProspInd,EconGrievenceProspAgg,NatPride,NativeRights,NativeJobs,LawOrder,Chauvinism,ChristianSchool,GayNeighbor,GayPartner,ForNeighbor,ForPartner,Ukraine,DemonstrateNational,DemonstrateTrad
1,2,73,1,0,2,2.55,2,3,2,3,4,4,3,3,4,3,3,3,3,3,3,3,3,0,0
2,1,55,2,0,2,3,2,2,1,4,4,4,4,2,2,2,2,2,4,3,3,3,4,0,0
3,1,69,1,0,3,3,3,3,2,3,4,4,4,3,3,4,3,3,1,2,2,2,1,0,0
4,2,57,1,0,3,1,4,4,2,3,4,4,3,3,4,1,1,4,3,3,2,2,2,0,0
5,1,55,3,0,5,2,4,4,4,5,5,5,2,2,4,3,3,3,2,3,2,3,3,0,0
6,2,70,2,1,3,1,2,2,3,3,4,3,3,2,2,3,3,2,3,4,3,4,4,0,0
7,2,20,2,0,1,3,2,2,2,5,5,5,4,3,4,4,1,2,4,4,4,4,4,0,0
8,1,50,3,1,5,4,2,4,2,3,4,3,3,3,3,2,3,3,3,4,3,3,4,0,0
9,1,60,1,0,3,2,4,4,2,2,3,4,3,4,2,3,2,3,2,2,2,2,2,0,0
10,1,42,1,0,4,3,2,2,2,4,4,2,4,3,4,3,2,3,4,4,4,4,4,0,0
11,1,26,2,0,5,2,4,4,4,2,4,5,3,4,4,3,3,3,4,4,4,4,4,0,0
12,1,40,2,0,5,1,4,4,3,4,4,5,2,3,1,4,1,3,3,3,1,1,1,0,0
13,2,49,1,0,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,0,0
14,2,45,2,1,3,3,3,2,2,3,3,4,3,3,3,3,4,4,4,4,3,4,4,0,0
15,2,42,3,1,5,4,4,4,1,3,4,5,4,4,4,4,3,3,1,3,1,1,1,1,1
16,1,51,2,0,4,4,3,2,1,3,3,3,3,4,4,3,3,2,3,3,2,2,2,1,1
17,1,31,2,0,5,2,2,2,2,4,4,4,3,4,3,3,3,3,2,2,2,2,2,0,0
18,2,68,2,0,3,3,3,3,3,4,3,4,3,3,3,2,3,2,4,4,4,4,4,0,0
19,2,65,3,0,4,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,2,2,2,0,0
20,2,46,3,0,3,2,4,4,2,2,4,4,3,4,4,3,3,4,4,4,2,2,2,0,3
21,2,66,3,1,2,5,3,2,2,5,5,4,2,3,3,3,3,2,3,4,2,4,2,0,0
22,1,29,3,1,5,4,4,4,2,3,4,4,4,4,4,4,4,3,2,3,2,1,1,0,0
23,2,50,1,0,3,3,3,3,2,5,5,5,3,3,4,2,2,2,1,1,1,1,1,0,1
24,2,75,1,0,1,1,4,4,4,4,5,5,3,4,4,4,3,4,4,4,2,4,2,0,0
25,1,62,1,0,4,3,2,2,1,3,3,4,3,2,3,1,2,2,1,1,2,1,1,0,0
26,1,33,3,0,5,2,3,3,2,4,3,3,3,3,3,3,3,2,2,2,2,2,2,0,0
27,1,67,1,0,3,3,3,3,3,4,3,4,3,3,2,3,2,2,3,3,3,3,3,0,0
28,1,23,1,0,4,4,1,1,1,4,4,5,3,2,2,1,3,1,2,1,1,2,1,0,0
29,1,53,2,0,3,3,2,3,2,4,4,4,3,4,3,3,3,2,4,4,2,4,2,0,0
30,1,64,3,0,5,2,2,3,2,1,1,1,3,3,3,3,2,2,1,1,1,1,1,0,0
31,2,63,1,0,3,3,3,3,3,4,4,4,1,3,4,2,3,4,2,4,4,4,2,0,0
32,1,52,2,0,5,2,2,2,2,5,1,5,3,2,3,2,2,1,4,2,2,4,4,0,0
33,1,34,1,0,3.71,2.48,4,4,3,4,5,5,2,4,4,3,3,2,3,3,2,3,2,0,0
